Linux 3.13.0-55-generic (hp13-HP-EliteDesk-800-G1-SFF) 	25/06/15 	_x86_64_	(8 CPU)

13:31:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:32:30        all     78,70      0,00     11,53      0,00      0,00      9,77
13:32:31        all     83,02      0,00     11,70      0,00      0,00      5,28
13:32:32        all     88,85      0,00      8,52      0,00      0,00      2,63
13:32:33        all     84,89      0,00      9,82      0,00      0,00      5,29
13:32:34        all     91,71      0,00      5,65      0,00      0,00      2,64
13:32:35        all     91,11      0,00      5,26      0,00      0,00      3,63
13:32:36        all     86,07      0,00     10,29      0,00      0,00      3,64
13:32:37        all     87,38      0,00      9,38      0,00      0,00      3,25
13:32:38        all     86,22      0,00     10,15      0,00      0,00      3,63
13:32:39        all     88,24      0,00      8,01      0,00      0,00      3,75
13:32:40        all     84,96      0,00     12,16      0,00      0,00      2,88
13:32:41        all     85,75      0,00     10,38      0,00      0,00      3,88
13:32:42        all     94,61      0,00      3,26      0,13      0,00      2,01
13:32:43        all     88,49      0,00      9,89      0,00      0,00      1,63
13:32:44        all     88,47      0,00      8,90      0,00      0,00      2,63
13:32:45        all     84,47      0,00     12,05      0,00      0,00      3,48
13:32:46        all     87,33      0,00      9,79      0,00      0,00      2,89
13:32:47        all     86,59      0,00     11,40      0,00      0,00      2,01
13:32:48        all     85,34      0,00     11,28      0,00      0,00      3,38
13:32:49        all     86,00      0,00      9,75      0,00      0,00      4,25
13:32:50        all     90,80      0,00      3,73      0,00      0,00      5,47
13:32:51        all     64,37      0,00     12,55      0,00      0,00     23,09
13:32:52        all     84,11      0,00     12,27      0,00      0,00      3,63
13:32:53        all     86,36      0,00      9,76      0,13      0,00      3,75
13:32:54        all     86,97      0,00     11,40      0,00      0,00      1,63
13:32:55        all     84,96      0,00     12,03      0,00      0,00      3,01
13:32:56        all     86,15      0,00     10,45      0,00      0,00      3,40
13:32:57        all     91,59      0,00      6,65      0,00      0,00      1,76
13:32:58        all     90,86      0,00      7,26      0,00      0,00      1,88
13:32:59        all     84,73      0,00     12,52      0,00      0,00      2,75
13:33:00        all     85,62      0,00     12,25      0,00      0,00      2,12
13:33:01        all     81,05      0,00     14,93      0,00      0,00      4,02
13:33:02        all     82,65      0,00     13,73      0,00      0,00      3,62
13:33:03        all     86,67      0,00     12,08      0,00      0,00      1,25
13:33:04        all     86,93      0,00      9,92      0,00      0,00      3,14
13:33:05        all     93,21      0,00      4,78      0,00      0,00      2,01
13:33:06        all     81,10      0,00     14,27      0,13      0,00      4,51
13:33:07        all     82,81      0,00     13,55      0,00      0,00      3,64
13:33:08        all     83,52      0,00     13,36      0,00      0,00      3,12
13:33:09        all     84,38      0,00     14,25      0,00      0,00      1,38
13:33:10        all     83,00      0,00     13,00      0,00      0,00      4,00
13:33:11        all     86,76      0,00      8,07      0,00      0,00      5,17
13:33:12        all     91,02      0,00      7,23      0,00      0,00      1,75
13:33:13        all     84,34      0,00     13,03      0,00      0,00      2,63
13:33:14        all     83,60      0,00     13,77      0,00      0,00      2,63
13:33:15        all     85,73      0,00     12,02      0,00      0,00      2,25
13:33:16        all     81,73      0,00     14,02      0,00      0,00      4,26
13:33:17        all     85,21      0,00     11,90      0,00      0,00      2,88
13:33:18        all     91,08      0,00      7,91      0,00      0,00      1,01
13:33:19        all     91,48      0,00      6,64      0,00      0,00      1,88
13:33:20        all     81,89      0,00     13,58      0,00      0,00      4,53
13:33:21        all     84,98      0,00     13,39      0,00      0,00      1,63
13:33:22        all     84,79      0,00     12,34      0,00      0,00      2,87
13:33:23        all     82,08      0,00     13,66      0,00      0,00      4,26
13:33:24        all     86,27      0,00     12,48      0,00      0,00      1,25
13:33:25        all     91,39      0,00      6,24      0,00      0,00      2,37
13:33:26        all     87,62      0,00     10,12      0,00      0,00      2,25
13:33:27        all     85,48      0,00     12,39      0,00      0,00      2,13
13:33:28        all     82,18      0,00     13,80      0,00      0,00      4,02
13:33:29        all     85,50      0,00     12,62      0,00      0,00      1,88
13:33:30        all     83,02      0,00     13,96      0,00      0,00      3,02
13:33:31        all     83,54      0,00      9,98      0,00      0,00      6,48
13:33:32        all     94,48      0,00      3,76      0,00      0,00      1,76
13:33:33        all     84,34      0,00     13,53      0,25      0,00      1,88
13:33:34        all     86,50      0,00     12,25      0,00      0,00      1,25
13:33:35        all     82,46      0,00     14,41      0,00      0,00      3,13
13:33:36        all     85,86      0,00     12,52      0,00      0,00      1,63
13:33:37        all     76,25      0,00     13,63      0,00      0,00     10,12
13:33:38        all     93,00      0,00      3,25      0,00      0,00      3,75
13:33:39        all     85,38      0,00     11,50      0,00      0,00      3,12
13:33:40        all     83,56      0,00     14,43      0,00      0,00      2,01
13:33:41        all     83,17      0,00     12,59      0,00      0,00      4,24
13:33:42        all     83,17      0,00     14,45      0,00      0,00      2,39
13:33:44        all     84,64      0,00     12,11      0,00      0,00      3,25
13:33:45        all     89,74      0,00      6,76      0,00      0,00      3,50
13:33:46        all     88,88      0,00      9,50      0,00      0,00      1,62
13:33:47        all     82,60      0,00     13,52      0,00      0,00      3,88
13:33:48        all     82,56      0,00     14,43      0,00      0,00      3,01
13:33:49        all     84,23      0,00     12,64      0,13      0,00      3,00
13:33:50        all     80,58      0,00     14,41      0,00      0,00      5,01
13:33:51        all     86,75      0,00     10,50      0,00      0,00      2,75
13:33:52        all     94,24      0,00      3,63      0,00      0,00      2,13
13:33:53        all     80,05      0,00     14,18      0,00      0,00      5,77
13:33:54        all     84,48      0,00     12,52      0,00      0,00      3,00
13:33:55        all     81,23      0,00     14,11      0,00      0,00      4,66
13:33:56        all     85,02      0,00     13,11      0,00      0,00      1,87
13:33:57        all     82,54      0,00     15,08      0,00      0,00      2,39
13:33:58        all     92,36      0,00      5,14      0,00      0,00      2,51
13:33:59        all     87,89      0,00     10,11      0,00      0,00      2,00
13:34:00        all     80,45      0,00     14,29      0,00      0,00      5,26
13:34:01        all     85,66      0,00     12,47      0,00      0,00      1,87
13:34:02        all     82,96      0,00     14,29      0,00      0,00      2,76
13:34:03        all     86,11      0,00     12,39      0,00      0,00      1,50
13:34:04        all     83,46      0,00     12,78      0,00      0,00      3,76
13:34:05        all     93,34      0,00      4,77      0,00      0,00      1,88
13:34:06        all     84,25      0,00     13,12      0,00      0,00      2,62
13:34:07        all     81,75      0,00     15,00      0,00      0,00      3,25
13:34:08        all     85,02      0,00     12,73      0,00      0,00      2,25
13:34:09        all     83,14      0,00     14,47      0,00      0,00      2,39
13:34:10        all     84,54      0,00     12,72      0,00      0,00      2,74
13:34:11        all     93,00      0,00      5,75      0,00      0,00      1,25
13:34:12        all     87,17      0,00     10,69      0,00      0,00      2,14
13:34:13        all     85,09      0,00     12,28      0,00      0,00      2,63
13:34:14        all     82,67      0,00     14,59      0,00      0,00      2,74
13:34:15        all     84,12      0,00     12,88      0,00      0,00      3,00
13:34:16        all     79,27      0,00     17,59      0,00      0,00      3,14
13:34:17        all     83,98      0,00     11,76      0,00      0,00      4,26
13:34:18        all     93,88      0,00      3,50      0,00      0,00      2,62
13:34:19        all     85,27      0,00     13,36      0,00      0,00      1,37
13:34:20        all     83,04      0,00     13,07      0,00      0,00      3,89
13:34:21        all     83,21      0,00     14,41      0,00      0,00      2,38
13:34:22        all     86,11      0,00     12,39      0,00      0,00      1,50
13:34:23        all     82,21      0,00     14,29      0,00      0,00      3,51
13:34:24        all     92,74      0,00      5,38      0,00      0,00      1,88
13:34:25        all     88,07      0,00      8,92      0,00      0,00      3,02
13:34:26        all     80,27      0,00     13,86      0,00      0,00      5,87
13:34:27        all     85,27      0,00     12,98      0,00      0,00      1,75
13:34:28        all     73,38      0,00     16,75      0,00      0,00      9,88
13:34:29        all     84,80      0,00     12,44      0,00      0,00      2,76
13:34:30        all     84,67      0,00     13,07      0,00      0,00      2,26
13:34:31        all     95,62      0,00      3,25      0,00      0,00      1,12
13:34:32        all     77,14      0,00     14,95      0,00      0,00      7,91
13:34:33        all     83,40      0,00     13,61      0,12      0,00      2,87
13:34:34        all     83,02      0,00     13,98      0,00      0,00      3,00
13:34:35        all     83,02      0,00     13,98      0,00      0,00      3,00
13:34:36        all     83,29      0,00     12,84      0,00      0,00      3,87
13:34:37        all     90,60      0,00      7,52      0,00      0,00      1,88
13:34:38        all     89,61      0,00      7,63      0,00      0,00      2,75
13:34:39        all     80,20      0,00     14,41      0,00      0,00      5,39
13:34:40        all     84,89      0,00     13,98      0,00      0,00      1,12
13:34:41        all     84,14      0,00     13,48      0,00      0,00      2,37
13:34:42        all     83,81      0,00     14,43      0,00      0,00      1,76
13:34:43        all     85,18      0,00     12,69      0,00      0,00      2,14
13:34:44        all     93,60      0,00      4,14      0,00      0,00      2,26
13:34:45        all     86,12      0,00     10,12      0,00      0,00      3,75
13:34:46        all     82,59      0,00     14,93      0,00      0,00      2,49
13:34:47        all     81,40      0,00     14,73      0,00      0,00      3,87
13:34:48        all     83,04      0,00     13,22      0,00      0,00      3,74
13:34:49        all     82,87      0,00     14,36      0,00      0,00      2,77
13:34:50        all     85,18      0,00     10,68      0,00      0,00      4,15
13:34:51        all     93,62      0,00      3,88      0,00      0,00      2,50
13:34:52        all     85,11      0,00     12,77      0,00      0,00      2,13
13:34:53        all     83,15      0,00     13,98      0,00      0,00      2,87
13:34:54        all     84,25      0,00     14,25      0,00      0,00      1,50
13:34:55        all     84,98      0,00     12,64      0,00      0,00      2,38
13:34:56        all     81,98      0,00     14,89      0,13      0,00      3,00
13:34:57        all     87,27      0,00     10,24      0,00      0,00      2,50
13:34:58        all     93,00      0,00      5,00      0,00      0,00      2,00
13:34:59        all     83,85      0,00     13,77      0,00      0,00      2,38
13:35:00        all     85,36      0,00     13,27      0,00      0,00      1,38
13:35:01        all     81,52      0,00     14,48      0,37      0,00      3,62
13:35:02        all     85,96      0,00     12,28      0,00      0,00      1,75
13:35:03        all     83,08      0,00     14,29      0,00      0,00      2,63
13:35:04        all     91,38      0,00      6,62      0,00      0,00      2,00
13:35:05        all     91,11      0,00      7,88      0,00      0,00      1,00
