# time,value,value
1455,1219093,1219.093
1460,1223773,1223.773
1465,1228401,1228.401
1470,1232041,1232.041
1475,1235578,1235.578
1480,1239323,1239.323
1485,1243224,1243.224
1490,1247800,1247.8
1495,1252324,1252.324
1500,1256536,1256.536
1505,1259500,1259.5
1510,1263140,1263.14
1515,1267251,1267.251
1520,1271255,1271.255
1525,1275884,1275.884
1530,1280200,1280.2
1535,1285192,1285.192
1540,1288936,1288.936
1545,1293408,1293.408
1550,1297880,1297.88
1555,1301780,1301.78
1560,1305264,1305.264
1565,1309216,1309.216
1570,1312960,1312.96
1575,1317952,1317.952
1580,1322008,1322.008
1585,1326480,1326.48
1590,1330120,1330.12
1595,1334072,1334.072
1600,1338856,1338.856
1605,1343588,1343.588
1610,1347696,1347.696
1615,1351180,1351.18
1620,1354768,1354.768
1625,1358356,1358.356
1630,1362724,1362.724
1635,1366572,1366.572
1640,1371096,1371.096
1645,1375828,1375.828
1650,1379884,1379.884
1655,1384408,1384.408
1660,1388152,1388.152
1665,1392000,1392
1670,1395279,1395.279
1675,1398973,1398.973
1680,1402563,1402.563
1685,1406827,1406.827
1690,1410623,1410.623
1695,1414835,1414.835
1700,1418891,1418.891
1705,1423260,1423.26
1710,1426640,1426.64
1715,1430488,1430.488
1720,1434076,1434.076
1725,1438288,1438.288
1730,1443072,1443.072
1735,1446920,1446.92
1740,1452172,1452.172
1745,1455656,1455.656
1750,1459660,1459.66
1755,1463560,1463.56
1760,1467460,1467.46
1765,1471570,1471.57
1770,1475782,1475.782
1775,1480358,1480.358
1780,1484779,1484.779
1785,1488680,1488.68
1790,1492632,1492.632
1795,1496428,1496.428
1800,1500692,1500.692
1805,1504857,1504.857
1810,1508810,1508.81
1815,1512762,1512.762
1820,1516715,1516.715
1825,1520719,1520.719
1830,1525036,1525.036
1835,1529665,1529.665
1840,1534865,1534.865
1845,1539181,1539.181
1850,1543913,1543.913
1855,1548437,1548.437
1860,1551973,1551.973
1865,1556289,1556.289
1870,1560034,1560.034
1875,1564040,1564.04
1880,1567680,1567.68
1885,1572259,1572.259
1890,1576784,1576.784
1895,1581360,1581.36
1900,1585104,1585.104
1905,1589472,1589.472
1910,1593892,1593.892
1915,1598052,1598.052
1920,1601900,1601.9
1925,1605488,1605.488
1930,1609388,1609.388
1935,1612924,1612.924
1940,1617396,1617.396
1945,1620776,1620.776
1950,1624520,1624.52
1955,1628212,1628.212
1960,1632476,1632.476
1965,1636740,1636.74
1970,1640640,1640.64
1975,1644488,1644.488
1980,1647712,1647.712
1985,1651508,1651.508
1990,1655253,1655.253
1995,1659465,1659.465
2000,1663055,1663.055
2005,1667163,1667.163
2010,1671377,1671.377
2015,1675798,1675.798
2020,1679750,1679.75
2025,1683702,1683.702
2030,1688020,1688.02
2035,1692441,1692.441
2040,1696913,1696.913
2045,1701075,1701.075
2050,1705237,1705.237
2055,1709710,1709.71
2060,1714182,1714.182
2065,1718654,1718.654
2070,1723334,1723.334
2075,1727910,1727.91
2080,1732280,1732.28
2085,1736856,1736.856
2090,1741120,1741.12
2095,1746008,1746.008
2100,1750428,1750.428
2105,1754484,1754.484
2110,1759112,1759.112
2115,1764416,1764.416
2120,1768264,1768.264
2125,1772737,1772.737
2130,1776689,1776.689
2135,1780797,1780.797
2140,1784749,1784.749
2145,1788857,1788.857
2150,1792913,1792.913
2155,1796814,1796.814
2160,1801390,1801.39
2165,1805446,1805.446
2170,1809398,1809.398
2175,1813194,1813.194
2180,1817250,1817.25
2185,1821098,1821.098
2190,1825258,1825.258
2195,1829626,1829.626
2200,1834254,1834.254
2205,1837998,1837.998
2210,1841950,1841.95
2215,1846059,1846.059
2220,1850272,1850.272
2225,1854016,1854.016
2230,1858125,1858.125
2235,1863221,1863.221
2240,1867902,1867.902
2245,1872530,1872.53
2250,1877314,1877.314
2255,1881370,1881.37
2260,1885738,1885.738
2265,1890574,1890.574
2270,1895566,1895.566
2275,1900038,1900.038
2280,1904302,1904.302
2285,1908827,1908.827
2290,1912519,1912.519
2295,1916783,1916.783
2300,1920787,1920.787
2305,1925727,1925.727
2310,1930355,1930.355
2315,1934411,1934.411
2320,1938207,1938.207
2325,1942212,1942.212
2330,1946060,1946.06
2335,1949596,1949.596
2340,1954692,1954.692
2345,1959736,1959.736
2350,1965300,1965.3
2355,1970136,1970.136
2360,1975648,1975.648
2365,1980172,1980.172
2370,1984852,1984.852
2375,1990156,1990.156
2380,1994576,1994.576
2385,1999360,1999.36
2390,2003936,2003.936
2395,2008564,2008.564
2400,2013192,2013.192
2405,2017248,2017.248
2410,2022188,2022.188
2415,2027232,2027.232
2420,2032068,2032.068
2425,2036748,2036.748
2430,2041532,2041.532
2435,2046056,2046.056
2440,2050996,2050.996
2445,2054948,2054.948
2450,2059680,2059.68
2455,2064568,2064.568
2460,2069404,2069.404
2465,2074304,2074.304
2470,2078895,2078.895
2475,2083487,2083.487
2480,2088539,2088.539
2485,2092978,2092.978
2490,2097517,2097.517
2495,2102056,2102.056
2500,2105728,2105.728
2505,2110220,2110.22
2510,2114556,2114.556
2515,2118330,2118.33
2520,2122361,2122.361
2525,2126135,2126.135
2530,2129858,2129.858
2535,2134143,2134.143
2540,2138071,2138.071
2545,2142052,2142.052
2550,2146490,2146.49
2555,2150774,2150.774
2560,2155313,2155.313
2565,2159393,2159.393
2570,2163678,2163.678
2575,2168166,2168.166
2580,2172348,2172.348
2585,2176785,2176.785
2590,2180916,2180.916
2595,2184947,2184.947
2600,2188825,2188.825
2605,2193365,2193.365
2610,2197547,2197.547
2615,2202342,2202.342
2620,2206881,2206.881
2625,2211573,2211.573
2630,2215756,2215.756
2635,2219887,2219.887
2640,2224171,2224.171
2645,2228812,2228.812
2650,2232944,2232.944
2655,2237382,2237.382
2660,2241054,2241.054
2665,2245594,2245.594
2670,2250491,2250.491
2675,2254673,2254.673
2680,2259009,2259.009
2685,2263089,2263.089
2690,2266863,2266.863
2695,2271147,2271.147
2700,2274921,2274.921
2705,2278899,2278.899
2710,2283540,2283.54
2715,2287059,2287.059
2720,2290630,2290.63
2725,2294506,2294.506
2730,2299402,2299.402
2735,2303380,2303.38
2740,2307358,2307.358
2745,2310928,2310.928
2750,2314753,2314.753
2755,2318528,2318.528
2760,2322302,2322.302
2765,2326739,2326.739
2770,2330259,2330.259
2775,2334442,2334.442
2780,2338675,2338.675
2785,2342195,2342.195
2790,2346377,2346.377
2795,2350355,2350.355
2800,2353823,2353.823
2805,2357750,2357.75
2810,2361779,2361.779
2815,2366012,2366.012
2820,2369940,2369.94
2825,2374530,2374.53
2830,2378355,2378.355
2835,2382794,2382.794
2840,2386365,2386.365
2845,2390292,2390.292
2850,2394577,2394.577
2855,2398098,2398.098
2860,2402129,2402.129
2865,2406159,2406.159
2870,2410596,2410.596
2875,2414524,2414.524
2880,2417995,2417.995
2885,2422687,2422.687
2890,2426718,2426.718
2895,2430850,2430.85
2900,2434930,2434.93
2905,2438451,2438.451
2910,2442584,2442.584
2915,2446103,2446.103
2920,2450339,2450.339
2925,2454827,2454.827
2930,2458909,2458.909
2935,2463144,2463.144
2940,2466971,2466.971
2945,2470951,2470.951
2950,2475747,2475.747
2955,2480289,2480.289
2960,2485287,2485.287
2965,2489368,2489.368
2970,2493856,2493.856
2975,2498191,2498.191
2980,2501812,2501.812
2985,2505027,2505.027
2990,2508395,2508.395
2995,2512068,2512.068
3000,2515946,2515.946
3005,2519925,2519.925
3010,2523495,2523.495
3015,2527577,2527.577
3020,2531507,2531.507
3025,2535485,2535.485
3030,2539620,2539.62
3035,2543344,2543.344
3040,2547223,2547.223
3045,2551305,2551.305
3050,2555440,2555.44
3055,2559114,2559.114
3060,2563144,2563.144
3065,2567531,2567.531
3070,2571614,2571.614
3075,2576360,2576.36
3080,2580341,2580.341
3085,2584423,2584.423
3090,2588605,2588.605
3095,2592486,2592.486
3100,2596517,2596.517
3105,2601261,2601.261
3110,2606056,2606.056
3115,2609884,2609.884
3120,2613357,2613.357
