# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,6,0.0,0.2976618505810877,0.0,0.0
25,254,3.9338148002372937,10.094966252823909,0.8132044719764193,0.2725754781590809
30,504,7.617063603678325,16.708270099535607,1.6261906932280155,0.5480729683351052
35,752,10.829913805158894,21.382707903332065,2.389376632586824,0.8098558261520578
40,1002,14.105701029554496,24.941716617903243,3.2060624026177784,1.0923489751274047
45,1252,16.943668481058275,27.712540529200954,3.972886742593107,1.361088734730626
50,1500,19.58670681786241,29.89121792365095,4.7336480095257985,1.6305556960165588
55,1750,21.98643724314196,31.711077685586396,5.475223580255915,1.896313708581268
60,2000,24.226278051684734,33.22898131676054,6.211153403391812,2.1628154421604933
65,2248,26.255048843095068,34.483235037006835,6.928307957990605,2.42562465483069
70,2498,28.15359031244353,35.58524004672912,7.640220408888028,2.689193925315022
75,2746,29.868350553111462,36.51581189730732,8.333754563494473,2.9490869211815904
80,2996,31.477988369114694,37.35499756456126,9.022437025271573,3.2097561311466367
85,3246,32.95892665130461,38.09536143331589,9.69973656717695,3.468981194068033
90,3494,34.28947341209592,38.7316192650727,10.359229913855993,3.7245540499418635
95,3744,35.54561776191337,39.32215373067453,11.014434212771468,3.980927054146372
100,3994,36.66934412078283,39.85348652570649,11.652197518704693,4.233663652142105
105,4242,37.735204514980694,40.315325935568644,12.286030942856272,4.487216111768257
110,4492,38.683861183288776,40.75354360409673,12.902776603516008,4.737147791431306
115,4742,39.588649686514756,41.153918900200495,13.515939773514566,4.987910872398673
120,4990,40.42109529532865,41.50430473938259,14.118968247742918,5.2372846877827195
125,5240,41.154999994052304,41.84238709577547,14.705418119516755,5.483060873527898
130,5490,41.862207147131485,42.15471005067658,15.288786245975027,5.729691482645314
135,5738,42.480886904159625,42.42933375042353,15.85590072694478,5.9727396599035325
140,5988,43.08208199320586,42.69883058042016,16.42025304849875,6.216657374115649
145,6238,43.63520817698544,42.949568309221476,16.975277446645038,6.459223747116733
150,6486,44.11212659880879,43.17045622194349,17.514516679925084,6.698230204744448
155,6736,44.58289496318947,43.38987493255143,18.051454491108014,6.9381285910671355
160,6984,44.98404053327383,43.58319781269334,18.572906082412537,7.1744818430681745
165,7234,45.385094508631504,43.776623074960796,19.092350255481744,7.411741722926632
170,7484,45.754081978624214,43.958798346378614,19.60320877154929,7.647687146988334
175,7734,46.061584605310955,44.13074949128685,20.099012120572038,7.880109336740142
180,7982,46.3764829136262,44.28189242108911,20.59323197951642,8.113459933031733
185,8232,46.66620334336786,44.43575366797825,21.079283102699968,8.34551773155172
190,8482,46.900776772407426,44.58160645463033,21.550689088977563,8.574073833798217
195,8730,47.14857697976399,44.70957403714065,22.02091483811356,8.8035797612969
200,8980,47.34458194233811,44.84122311438746,22.47675702076934,9.029598130275422
205,9230,47.556897447542326,44.96636517533976,22.931676213330398,9.256580383934159
210,9478,47.752237142244674,45.0759692957024,23.379076253009774,9.482305121407435
215,9728,47.89997610316269,45.19002526055245,23.81247000200175,9.704563248728014
220,9978,48.06788474312673,45.298839917348886,24.24531180087144,9.927806093039132
225,10226,48.22236814949365,45.39396274575536,24.67099935408058,10.149812138060947
230,10476,48.33251751052617,45.49370983640677,25.083039492437585,10.368372175051467
235,10726,48.46584204906741,45.588821172474226,25.494880624811763,10.587937417015047
240,10976,48.588506546085306,45.680325650288744,25.899914622011337,10.806286234165306
245,11224,48.66938109729166,45.75994071698897,26.291642577613032,11.021209304882559
250,11474,48.775771510563,45.84439981799723,26.683507258082553,11.237157729918827
255,11724,48.873655416063386,45.92555641418118,27.068894985085254,11.451909767857291
260,11972,48.93173072245286,45.99576337245873,27.441301394774257,11.663255986066277
265,12222,49.017144817872655,46.07096601819873,27.814163886394944,11.875647374900835
270,12472,49.06374734514598,46.14335145952863,28.17425208463334,12.084646022360758
275,12720,49.13860597421968,46.205904765752685,28.53499996693021,12.294702846345023
280,12970,49.20747923778575,46.27333838989778,28.889785211195786,12.503595923596807
285,13220,49.23886346509873,46.33841910761696,29.23209495269676,12.709115640651849
290,13468,49.29972058229377,46.39433895773375,29.575358230299372,12.915712808034458
295,13718,49.32372959891124,46.45510629210492,29.906336446495438,13.118949334909967
300,13966,49.37780119469916,46.50726100575212,30.238455492432415,13.323275961333671
