id,time,time (ns),time (ms),
295,40315125652,38545329733,38545.329733,38.545329733
296,39815879744,38046083825,38046.083825,38.046083825
297,39314948295,37545152376,37545.152376,37.545152376
298,38814490376,37044694457,37044.694457,37.044694457
299,38314794625,36544998706,36544.998706,36.544998706
300,36813416863,35043620944,35043.620944,35.043620944
301,89882362731,88112566812,88112.566812,88.112566812
302,89381312171,87611516252,87611.516252,87.611516252
303,88880744588,87110948669,87110.948669,87.110948669
304,88379975095,86610179176,86610.179176,86.610179176
305,87880578233,86110782314,86110.782314,86.110782314
306,87379355710,85609559791,85609.559791,85.609559791
307,86879342778,85109546859,85109.546859,85.109546859
308,86379322007,84609526088,84609.526088,84.609526088
309,85877513289,84107717370,84107.71737,84.10771737
310,85378179279,83608383360,83608.38336,83.60838336
311,84877646901,83107850982,83107.850982,83.107850982
312,84376901249,82607105330,82607.10533,82.60710533
313,83875718678,82105922759,82105.922759,82.105922759
314,83376487951,81606692032,81606.692032,81.606692032
315,82875372824,81105576905,81105.576905,81.105576905
316,82375211627,80605415708,80605.415708,80.605415708
317,81873900378,80104104459,80104.104459,80.104104459
318,81374480895,79604684976,79604.684976,79.604684976
319,80873005304,79103209385,79103.209385,79.103209385
320,80373879451,78604083532,78604.083532,78.604083532
321,79872525690,78102729771,78102.729771,78.102729771
322,79371955666,77602159747,77602.159747,77.602159747
323,78873197214,77103401295,77103.401295,77.103401295
324,78371250505,76601454586,76601.454586,76.601454586
325,77871742413,76101946494,76101.946494,76.101946494
326,77371450176,75601654257,75601.654257,75.601654257
327,76870191190,75100395271,75100.395271,75.100395271
328,76370598483,74600802564,74600.802564,74.600802564
329,75869476666,74099680747,74099.680747,74.099680747
330,75369656554,73599860635,73599.860635,73.599860635
331,74368566242,72598770323,72598.770323,72.598770323
332,73867204022,72097408103,72097.408103,72.097408103
333,73367946238,71598150319,71598.150319,71.598150319
334,72866387441,71096591522,71096.591522,71.096591522
335,72367302622,70597506703,70597.506703,70.597506703
336,71865689373,70095893454,70095.893454,70.095893454
337,71366270037,69596474118,69596.474118,69.596474118
338,70865564288,69095768369,69095.768369,69.095768369
339,70364814090,68595018171,68595.018171,68.595018171
340,69864123762,68094327843,68094.327843,68.094327843
341,69364595166,67594799247,67594.799247,67.594799247
342,68863085102,67093289183,67093.289183,67.093289183
343,68362632404,66592836485,66592.836485,66.592836485
344,67863300191,66093504272,66093.504272,66.093504272
345,67363054871,65593258952,65593.258952,65.593258952
346,66861296336,65091500417,65091.500417,65.091500417
347,66362022197,64592226278,64592.226278,64.592226278
348,65861481775,64091685856,64091.685856,64.091685856
349,64359457942,62589662023,62589.662023,62.589662023
350,63358815316,61589019397,61589.019397,61.589019397
351,62859175788,61089379869,61089.379869,61.089379869
352,62358460149,60588664230,60588.66423,60.58866423
353,61858003895,60088207976,60088.207976,60.088207976
354,60857204645,59087408726,59087.408726,59.087408726
355,59856579489,58086783570,58086.78357,58.08678357
356,59356658097,57586862178,57586.862178,57.586862178
357,58855376946,57085581027,57085.581027,57.085581027
358,58356059962,56586264043,56586.264043,56.586264043
359,57855835037,56086039118,56086.039118,56.086039118
360,57354207344,55584411425,55584.411425,55.584411425
361,56855039276,55085243357,55085.243357,55.085243357
362,56353737620,54583941701,54583.941701,54.583941701
363,55854042468,54084246549,54084.246549,54.084246549
364,55353761004,53583965085,53583.965085,53.583965085
365,54852593393,53082797474,53082.797474,53.082797474
366,54352808905,52583012986,52583.012986,52.583012986
367,53852387665,52082591746,52082.591746,52.082591746
368,53351280276,51581484357,51581.484357,51.581484357
369,52850090950,51080295031,51080.295031,51.080295031
370,52351150321,50581354402,50581.354402,50.581354402
371,51849487888,50079691969,50079.691969,50.079691969
372,51350326220,49580530301,49580.530301,49.580530301
373,50849803045,49080007126,49080.007126,49.080007126
374,50349597462,48579801543,48579.801543,48.579801543
375,49847529838,48077733919,48077.733919,48.077733919
376,49348829603,47579033684,47579.033684,47.579033684
377,48847475838,47077679919,47077.679919,47.077679919
378,48347291824,46577495905,46577.495905,46.577495905
379,47847494215,46077698296,46077.698296,46.077698296
380,47345818421,45576022502,45576.022502,45.576022502
381,46845183255,45075387336,45075.387336,45.075387336
382,46346150909,44576354990,44576.35499,44.57635499
383,45845287401,44075491482,44075.491482,44.075491482
384,45343935543,43574139624,43574.139624,43.574139624
385,44844857489,43075061570,43075.06157,43.07506157
386,44344246031,42574450112,42574.450112,42.574450112
387,43842937654,42073141735,42073.141735,42.073141735
388,43342296377,41572500458,41572.500458,41.572500458
389,42843188208,41073392289,41073.392289,41.073392289
390,42341891924,40572096005,40572.096005,40.572096005
391,41842193850,40072397931,40072.397931,40.072397931
392,41341445351,39571649432,39571.649432,39.571649432
393,40840210897,39070414978,39070.414978,39.070414978
394,40341201488,38571405569,38571.405569,38.571405569
395,39839715272,38069919353,38069.919353,38.069919353
396,38840130469,37070334550,37070.33455,37.07033455
397,38339118414,36569322495,36569.322495,36.569322495
398,37838290662,36068494743,36068.494743,36.068494743
399,37337634279,35567838360,35567.83836,35.56783836
400,36837956879,35068160960,35068.16096,35.06816096
401,101403513366,99633717447,99633.717447,99.633717447
402,100902577277,99132781358,99132.781358,99.132781358
403,100402735538,98632939619,98632.939619,98.632939619
404,99902555947,98132760028,98132.760028,98.132760028
405,4337891105,2568095186,2568.095186,2.568095186
