VIR,RES (kB),RES (MB),SHR,time (s)
9121372,170820,170.82,157796,173
9123428,171032,171.032,158008,174
9125484,171244,171.244,158220,175
9127540,176388,176.388,163360,176
9129596,176600,176.6,163572,177
9131652,174712,174.712,161684,178
9133708,174928,174.928,161900,179
9135764,175152,175.152,162124,180
9137820,175348,175.348,162320,181
9138848,175456,175.456,162428,182
9139876,175552,175.552,162524,183
9139876,175552,175.552,162524,184
9139876,175552,175.552,162524,185
9139876,175552,175.552,162524,186
9139876,175884,175.884,162856,187
9139876,175776,175.776,162748,188
9139876,175776,175.776,162748,189
9139876,175776,175.776,162748,190
9139876,175776,175.776,162748,191
9139876,175708,175.708,162680,192
9139876,175796,175.796,162768,193
9139876,175796,175.796,162768,194
9139876,175796,175.796,162760,195
9139876,175796,175.796,162760,196
9139876,175800,175.8,162772,197
9139876,175804,175.804,162776,198
9139876,175804,175.804,162776,199
9139876,175804,175.804,162776,200
9139876,175804,175.804,162776,201
9139876,175804,175.804,162776,202
9139876,175808,175.808,162776,203
9139876,175808,175.808,162776,204
9139876,175800,175.8,162768,205
9139876,175836,175.836,162780,206
9139876,175832,175.832,162776,207
9139876,175832,175.832,162776,208
9139876,175832,175.832,162776,209
9139876,175828,175.828,162772,210
9139876,175828,175.828,162772,211
9139876,180128,180.128,167072,212
9139876,180196,180.196,167140,213
9139876,180196,180.196,167140,214
9139876,180196,180.196,167140,215
9139876,180196,180.196,167140,216
9139876,180196,180.196,167140,217
9139876,180216,180.216,167160,218
9139876,180212,180.212,167156,219
9139876,180212,180.212,167156,220
9139876,180212,180.212,167156,221
9139876,180212,180.212,167156,222
9139876,180212,180.212,167144,223
9139876,180228,180.228,167160,224
9139876,180228,180.228,167160,225
9139876,180228,180.228,167160,226
9139876,180228,180.228,167160,227
9139876,180228,180.228,167160,228
9139876,180228,180.228,167160,229
9139876,180228,180.228,167160,230
9139876,175848,175.848,162780,231
9139876,175848,175.848,162780,232
9139876,175848,175.848,162780,233
9139876,175848,175.848,162780,234
9139876,175844,175.844,162776,235
9139876,175844,175.844,162776,236
9139876,175844,175.844,162776,237
9139876,175844,175.844,162776,238
9139876,175844,175.844,162776,239
9139876,175844,175.844,162776,240
9139876,175844,175.844,162776,241
9139876,175844,175.844,162776,242
9139876,175840,175.84,162772,243
9139876,175840,175.84,162772,244
9139876,175836,175.836,162768,245
9139876,175836,175.836,162768,246
9139876,175836,175.836,162768,247
9139876,175848,175.848,162780,248
9139876,175848,175.848,162780,249
9139876,175844,175.844,162776,250
9139876,175840,175.84,162772,251
9139876,175840,175.84,162760,252
9139876,175840,175.84,162768,253
9139876,175832,175.832,162764,254
9139876,179352,179.352,166284,255
9139876,179204,179.204,166136,256
9139876,179196,179.196,166128,257
9139876,179248,179.248,166180,258
9139876,179248,179.248,166180,259
9139876,179184,179.184,166116,260
9139876,179192,179.192,166124,261
9139876,179192,179.192,166124,262
9139876,179188,179.188,166120,263
9139876,179184,179.184,166116,264
9139876,177836,177.836,164768,265
9139876,177836,177.836,164768,266
9139876,177832,177.832,164764,267
9139876,177832,177.832,164764,268
9139876,177828,177.828,164760,269
9139876,177828,177.828,164760,270
9139876,177836,177.836,164768,271
9139876,177836,177.836,164768,272
9139876,177836,177.836,164768,273
9139876,177832,177.832,164764,274
9139876,179336,179.336,166248,275
9139876,179336,179.336,166248,276
9139876,179336,179.336,166248,277
9139876,179336,179.336,166248,278
9139876,179332,179.332,166244,279
9139876,178900,178.9,165812,280
9139876,178900,178.9,165804,281
9139876,178900,178.9,165812,282
9139876,178896,178.896,165808,283
9139876,178896,178.896,165808,284
9139876,177908,177.908,164820,285
9139876,177904,177.904,164816,286
9139876,179164,179.164,166076,287
9139876,179164,179.164,166076,288
9139876,177928,177.928,164840,289
9139876,177928,177.928,164840,290
9139876,177924,177.924,164836,291
9139876,177924,177.924,164836,292
9139876,177924,177.924,164836,293
9139876,177924,177.924,164836,294
9139876,177924,177.924,164836,295
9139876,177924,177.924,164836,296
9139876,177924,177.924,164836,297
9139876,177852,177.852,164764,298
9139876,177852,177.852,164764,299
9139876,177852,177.852,164764,300
9139876,177852,177.852,164764,301
9139876,177852,177.852,164764,302
9139876,177852,177.852,164764,303
9139876,177852,177.852,164764,304
9139876,177892,177.892,164804,305
9139876,177892,177.892,164804,306
9139876,177892,177.892,164804,307
9139876,177892,177.892,164804,308
9139876,177892,177.892,164804,309
9139876,177892,177.892,164796,310
9139876,177892,177.892,164796,311
9139876,177892,177.892,164796,312
9139876,177892,177.892,164804,313
9139876,177884,177.884,164796,314
9139876,177884,177.884,164796,315
9139876,177884,177.884,164796,316
9139876,177884,177.884,164796,317
9139876,177884,177.884,164796,318
9139876,177884,177.884,164796,319
9139876,177888,177.888,164800,320
9139876,177884,177.884,164796,321
9139876,177884,177.884,164796,322
9139876,177884,177.884,164796,323
9139876,177884,177.884,164796,324
9139876,177884,177.884,164796,325
9139876,177884,177.884,164796,326
9139876,177884,177.884,164796,327
9139876,177884,177.884,164796,328
9139876,177884,177.884,164796,329
9139876,177880,177.88,164792,330
9139876,177876,177.876,164788,331
9139876,177876,177.876,164788,332
9139876,177876,177.876,164788,333
9139876,177880,177.88,164792,334
9139876,177880,177.88,164792,335
9139876,177880,177.88,164792,336
9139876,177888,177.888,164800,337
9139876,174340,174.34,161248,338
9139876,174340,174.34,161236,339
9139876,174340,174.34,161236,340
9139876,174340,174.34,161236,341
9139876,175920,175.92,162812,342
9139876,175208,175.208,162100,343
