time,time (ms),queue,,time (s)
5490829800643,107771.697806,98,5383058102837,107.771697806
5490830308392,107772.205555,99,5383058102837,107.772205555
5490831045360,107772.942523,99,5383058102837,107.772942523
5490831728917,107773.62608,99,5383058102837,107.77362608
5490832292016,107774.189179,99,5383058102837,107.774189179
5491830379021,108772.276184,98,5383058102837,108.772276184
5491830915254,108772.812417,98,5383058102837,108.772812417
5491831589338,108773.486501,99,5383058102837,108.773486501
5491832399299,108774.296462,98,5383058102837,108.774296462
5491833377746,108775.274909,99,5383058102837,108.775274909
5492331322728,109273.219891,98,5383058102837,109.273219891
5492331977111,109273.874274,98,5383058102837,109.273874274
5493334089548,110275.986711,98,5383058102837,110.275986711
5493334619707,110276.51687,98,5383058102837,110.27651687
5493335316203,110277.213366,99,5383058102837,110.277213366
5493336415258,110278.312421,100,5383058102837,110.278312421
5493337476521,110279.373684,99,5383058102837,110.279373684
5493338106310,110280.003473,98,5383058102837,110.280003473
5493338669091,110280.566254,98,5383058102837,110.280566254
5493339285337,110281.1825,99,5383058102837,110.2811825
5494336780551,111278.677714,98,5383058102837,111.278677714
5494337528404,111279.425567,99,5383058102837,111.279425567
5494837985209,111779.882372,98,5383058102837,111.779882372
5494838669347,111780.56651,98,5383058102837,111.78056651
5494839408901,111781.306064,98,5383058102837,111.781306064
5495841005965,112782.903128,98,5383058102837,112.782903128
5495842179068,112784.076231,98,5383058102837,112.784076231
5495843612942,112785.510105,98,5383058102837,112.785510105
5495844457155,112786.354318,98,5383058102837,112.786354318
5495845216068,112787.113231,98,5383058102837,112.787113231
5495846240271,112788.137434,98,5383058102837,112.788137434
5495847692775,112789.589938,98,5383058102837,112.789589938
5496343883353,113285.780516,98,5383058102837,113.285780516
5496344864795,113286.761958,100,5383058102837,113.286761958
5496851345492,113793.242655,98,5383058102837,113.793242655
5496852711189,113794.608352,98,5383058102837,113.794608352
5496853585250,113795.482413,98,5383058102837,113.795482413
5496854746303,113796.643466,98,5383058102837,113.796643466
5496856086533,113797.983696,98,5383058102837,113.797983696
5497345314861,114287.212024,98,5383058102837,114.287212024
5497346255837,114288.153,98,5383058102837,114.288153
5497347209868,114289.107031,98,5383058102837,114.289107031
5497348053782,114289.950945,98,5383058102837,114.289950945
5497348940093,114290.837256,98,5383058102837,114.290837256
5497853847999,114795.745162,97,5383058102837,114.795745162
5497855037169,114796.934332,98,5383058102837,114.796934332
5497855661184,114797.558347,98,5383058102837,114.797558347
5498856639836,115798.536999,97,5383058102837,115.798536999
5498857466901,115799.364064,98,5383058102837,115.799364064
5499860087895,116801.985058,97,5383058102837,116.801985058
5499860770199,116802.667362,98,5383058102837,116.802667362
5499861469157,116803.36632,100,5383058102837,116.80336632
5499862167266,116804.064429,98,5383058102837,116.804064429
5499862815075,116804.712238,97,5383058102837,116.804712238
5499863954322,116805.851485,97,5383058102837,116.805851485
5499864713092,116806.610255,98,5383058102837,116.806610255
5499865457527,116807.35469,98,5383058102837,116.80735469
5499866097443,116807.994606,98,5383058102837,116.807994606
5499866611142,116808.508305,98,5383058102837,116.808508305
5500862736132,117804.633295,97,5383058102837,117.804633295
5500863686867,117805.58403,97,5383058102837,117.80558403
5500864554247,117806.45141,98,5383058102837,117.80645141
5500865168018,117807.065181,97,5383058102837,117.807065181
5500866218842,117808.116005,98,5383058102837,117.808116005
5501364042224,118305.939387,97,5383058102837,118.305939387
5501364708721,118306.605884,97,5383058102837,118.306605884
5502366216241,119308.113404,97,5383058102837,119.308113404
5502367349911,119309.247074,97,5383058102837,119.309247074
5502368608868,119310.506031,98,5383058102837,119.310506031
5502369315670,119311.212833,100,5383058102837,119.311212833
5502369952726,119311.849889,98,5383058102837,119.311849889
5502370780889,119312.678052,97,5383058102837,119.312678052
5502371633443,119313.530606,97,5383058102837,119.313530606
5502372688856,119314.586019,98,5383058102837,119.314586019
5503369816998,120311.714161,97,5383058102837,120.311714161
5503370696141,120312.593304,98,5383058102837,120.312593304
5503871829601,120813.726764,97,5383058102837,120.813726764
5503872545135,120814.442298,97,5383058102837,120.814442298
5503873055331,120814.952494,97,5383058102837,120.814952494
5504874445548,121816.342711,97,5383058102837,121.816342711
5504876099394,121817.996557,97,5383058102837,121.817996557
5504877021037,121818.9182,97,5383058102837,121.8189182
5504877565589,121819.462752,97,5383058102837,121.819462752
5504878138165,121820.035328,97,5383058102837,121.820035328
5504878817617,121820.71478,97,5383058102837,121.82071478
5504879511534,121821.408697,97,5383058102837,121.821408697
5505376567693,122318.464856,97,5383058102837,122.318464856
5505377354158,122319.251321,100,5383058102837,122.319251321
5505879624243,122821.521406,97,5383058102837,122.821521406
5505880542234,122822.439397,97,5383058102837,122.822439397
5505881507877,122823.40504,97,5383058102837,122.82340504
5505883004294,122824.901457,97,5383058102837,122.824901457
5505883861341,122825.758504,97,5383058102837,122.825758504
5506380552556,123322.449719,97,5383058102837,123.322449719
5506381019565,123322.916728,97,5383058102837,123.322916728
5506381492112,123323.389275,97,5383058102837,123.323389275
5506382156811,123324.053974,97,5383058102837,123.324053974
5506382965331,123324.862494,97,5383058102837,123.324862494
5506880904564,123822.801727,96,5383058102837,123.822801727
5506881704612,123823.601775,97,5383058102837,123.823601775
5506882423232,123824.320395,97,5383058102837,123.824320395
5506883486775,123825.383938,97,5383058102837,123.825383938
5506884385945,123826.283108,97,5383058102837,123.826283108
5506884892820,123826.789983,97,5383058102837,123.826789983
5506885449115,123827.346278,97,5383058102837,123.827346278
5506886065245,123827.962408,100,5383058102837,123.827962408
5506900404393,123842.301556,97,5383058102837,123.842301556
5506901524283,123843.421446,97,5383058102837,123.843421446
5507383052681,124324.949844,96,5383058102837,124.324949844
5507384069449,124325.966612,97,5383058102837,124.325966612
5507384559348,124326.456511,97,5383058102837,124.326456511
5507385249574,124327.146737,97,5383058102837,124.327146737
5507386186740,124328.083903,97,5383058102837,124.328083903
5507387291237,124329.1884,97,5383058102837,124.3291884
5507388660641,124330.557804,97,5383058102837,124.330557804
5507389214398,124331.111561,97,5383058102837,124.331111561
5507389668393,124331.565556,96,5383058102837,124.331565556
5507390190443,124332.087606,97,5383058102837,124.332087606
5507390757702,124332.654865,97,5383058102837,124.332654865
5507901436109,124843.333272,96,5383058102837,124.843333272
5507902720738,124844.617901,97,5383058102837,124.844617901
5508905668072,125847.565235,96,5383058102837,125.847565235
5508906419822,125848.316985,97,5383058102837,125.848316985
5508907300750,125849.197913,95,5383058102837,125.849197913
5508908278689,125850.175852,97,5383058102837,125.850175852
5508909359501,125851.256664,96,5383058102837,125.851256664
5508910169893,125852.067056,96,5383058102837,125.852067056
5508910793659,125852.690822,97,5383058102837,125.852690822
5508911479183,125853.376346,97,5383058102837,125.853376346
