14:43:32	CPU	%user	%nice	%system	%iowait	%steal	%idle
14:44:59	all	3,40	0,00	2,77	0,25	0,00	93,57
14:45:00	all	1,89	0,00	1,39	0,00	0,00	96,72
14:45:01	all	4,40	0,00	2,26	0,00	0,00	93,34
14:45:02	all	1,77	0,00	1,26	0,63	0,00	96,34
14:45:03	all	4,04	0,00	2,14	0,00	0,00	93,82
14:45:04	all	2,40	0,00	2,27	0,00	0,00	95,33
14:45:05	all	3,03	0,00	1,01	0,00	0,00	95,95
14:45:06	all	4,15	0,00	2,39	0,13	0,00	93,34
14:45:07	all	2,02	0,00	1,01	0,25	0,00	96,72
14:45:08	all	3,41	0,00	2,15	0,13	0,00	94,31
14:45:09	all	1,89	0,00	1,26	0,00	0,00	96,85
14:45:10	all	3,65	0,00	2,27	0,00	0,00	94,08
14:45:11	all	1,52	0,00	0,89	0,00	0,00	97,59
14:45:12	all	3,90	0,00	2,14	0,00	0,00	93,95
14:45:13	all	2,78	0,00	2,27	0,38	0,00	94,57
14:45:14	all	2,77	0,00	1,39	0,00	0,00	95,84
14:45:15	all	3,40	0,00	3,02	0,00	0,00	93,58
14:45:16	all	1,90	0,00	1,14	0,00	0,00	96,96
14:45:17	all	3,16	0,00	2,40	0,00	0,00	94,44
14:45:18	all	1,63	0,00	1,63	0,38	0,00	96,36
14:45:19	all	3,53	0,00	2,40	0,00	0,00	94,07
14:45:20	all	1,76	0,00	1,89	0,00	0,00	96,35
14:45:21	all	3,03	0,00	1,89	0,00	0,00	95,08
14:45:22	all	3,15	0,00	2,52	0,00	0,00	94,33
14:45:23	all	2,26	0,00	1,13	0,13	0,00	96,48
14:45:24	all	3,91	0,00	2,15	0,25	0,00	93,69
14:45:25	all	2,02	0,00	1,39	0,00	0,00	96,60
14:45:26	all	4,02	0,00	2,39	0,00	0,00	93,59
14:45:27	all	1,77	0,00	0,88	0,00	0,00	97,35
14:45:28	all	3,29	0,00	1,90	0,00	0,00	94,81
14:45:29	all	2,53	0,00	2,27	0,25	0,00	94,95
14:45:30	all	3,02	0,00	1,76	0,00	0,00	95,22
14:45:31	all	4,28	0,00	2,02	0,00	0,00	93,70
14:45:32	all	1,77	0,00	0,89	0,00	0,00	97,34
14:45:33	all	3,40	0,00	2,65	0,13	0,00	93,82
14:45:34	all	1,51	0,00	1,26	0,25	0,00	96,97
14:45:35	all	3,28	0,00	2,52	0,00	0,00	94,20
14:45:36	all	2,14	0,00	1,13	0,00	0,00	96,73
14:45:37	all	3,16	0,00	2,28	0,00	0,00	94,56
14:45:38	all	2,40	0,00	2,52	0,00	0,00	95,08
14:45:39	all	2,90	0,00	1,26	0,50	0,00	95,34
14:45:40	all	4,15	0,00	2,14	0,00	0,00	93,71
14:45:41	all	1,51	0,00	1,13	0,00	0,00	97,35
