time,replication
25153144891409,14
25153646574175,14
25154148258534,14
25154649923655,14
25155151533876,14
25155652842940,14
25156154615454,14
25156656156872,14
25157157335588,14
25157659171005,14
25158160857980,14
25158662604645,14
25159164500900,14
25159666921559,14
25160167683126,14
25160669635839,14
25161171168314,14
25161672950064,14
25162174566610,14
25162676300080,14
25163177924489,14
25163679605927,14
25164181220879,14
25164682917962,14
25165184497909,14
25165686223076,14
25166187869234,14
25166689594246,14
25167190972426,14
25167692709495,14
25168194346532,14
25168695993682,14
25169197713542,14
25169701550239,14
25170203173350,14
25170704850378,14
25171206495077,14
25171708234747,14
25172209887094,14
25172711475917,14
25173213186150,14
25173714879324,14
25174216496120,14
25174718186659,14
25175219717475,14
25175720509136,14
25176222154617,14
25176723535935,14
25177225060692,14
25177726587840,14
25178228255316,14
25178729917165,14
25179231649488,14
25179733357290,14
25180234920420,14
25180736589645,14
25181238301246,14
25181739864807,14
25182241543889,14
25182743234788,14
25183244944465,14
25183746534601,14
25184248244413,14
25184749814223,14
25185251347580,14
25185752894914,14
25186254583187,14
25186756236160,14
25187257830991,14
25187759455084,14
25188261156357,14
25188762789134,14
25189264437292,14
25189766037901,14
25190267576480,14
25190769141980,14
25191270669003,14
25191772243173,14
25192273848648,14
25192775186892,14
25193275897405,14
25193777676207,14
25194278384240,14
25194780059143,14
25195281738366,14
25195783322102,14
25196284917971,14
25196786489509,14
25197287972999,14
25197789646338,14
25198291267649,14
25198792894168,14
25199294348601,14
25199795859678,14
25200297450570,14
25200799010051,14
25201300597035,14
25201802209136,14
25202303722302,14
25202805473738,14
25203306916190,14
25203807625649,14
25204309339571,14
25204810822288,14
25205312371245,14
25205813951619,14
25206315427442,14
25206816975145,14
25207318430581,14
25207820074193,14
25208321664920,14
25208823145878,14
25209324697637,14
25209826248639,14
25210327748831,14
25210829306453,14
25211330886000,14
25211832393093,14
25212333714364,14
25212835051350,14
25213335766258,14
25213837348992,14
25214338980858,14
25214840699846,14
25215342241807,14
25215843735695,14
25216347228017,14
25216849153493,14
25217350508972,14
25217852174980,14
25218353622582,14
25218855028892,14
25219356128235,14
25219857582302,14
25220359143743,14
25220860655737,14
25221362199462,14
25221863698702,14
25222365249504,14
25222866613810,14
25223367362481,14
25223868936250,14
25224370432132,14
25224872051474,14
25225373626351,14
25225875122834,14
25226376537227,14
25226878070428,14
25227379594234,14
25227881232539,14
25228382787064,14
