time,time (ms),replication,
25011519886942,82179.522876,2,24929340364066
25012521068445,83180.704379,2,24929340364066
25013523768994,84183.404928,2,24929340364066
25014526254328,85185.890262,2,24929340364066
25015527359263,86186.995197,2,24929340364066
25016528610364,87188.246298,2,24929340364066
25017530683686,88190.31962,2,24929340364066
25018533414243,89193.050177,2,24929340364066
25019535832928,90195.468862,2,24929340364066
25020538556515,91198.192449,2,24929340364066
25021541512845,92201.148779,2,24929340364066
25022543187083,93202.823017,2,24929340364066
25023544485078,94204.121012,2,24929340364066
25024547235009,95206.870943,2,24929340364066
25025551429254,96211.065188,2,24929340364066
25026552684898,97212.320832,2,24929340364066
25027555394658,98215.030592,2,24929340364066
25028558046938,99217.682872,2,24929340364066
25029208648609,99868.284543,1,24929340364066
25029711919144,100371.555078,1,24929340364066
25030213229926,100872.86586,1,24929340364066
25030717568030,101377.203964,1,24929340364066
25031219508945,101879.144879,1,24929340364066
25031721062374,102380.698308,1,24929340364066
25032224375705,102884.011639,1,24929340364066
25032727185776,103386.82171,1,24929340364066
25033227687142,103887.323076,1,24929340364066
25033732528417,104392.164351,1,24929340364066
25034231291176,104890.92711,1,24929340364066
25034735164554,105394.800488,1,24929340364066
25035233874710,105893.510644,2,24929340364066
25035740644848,106400.280782,1,24929340364066
25036240288801,106899.924735,1,24929340364066
25036740946794,107400.582728,1,24929340364066
25037244084423,107903.720357,1,24929340364066
25037744636010,108404.271944,1,24929340364066
25038247903457,108907.539391,1,24929340364066
25038749835330,109409.471264,1,24929340364066
25039252041192,109911.677126,1,24929340364066
25039753863466,110413.4994,1,24929340364066
25040254366470,110914.002404,1,24929340364066
25040757329730,111416.965664,1,24929340364066
25041258186379,111917.822313,1,24929340364066
25041760487833,112420.123767,1,24929340364066
25042261267706,112920.90364,2,24929340364066
25042762069822,113421.705756,1,24929340364066
25043263041440,113922.677374,1,24929340364066
25043765128592,114424.764526,1,24929340364066
25044266844563,114926.480497,1,24929340364066
25044767735544,115427.371478,1,24929340364066
25045270330017,115929.965951,1,24929340364066
25045772614692,116432.250626,1,24929340364066
25046274887931,116934.523865,1,24929340364066
25046776851332,117436.487266,1,24929340364066
25047279294051,117938.929985,1,24929340364066
25047781550712,118441.186646,1,24929340364066
25048282747827,118942.383761,1,24929340364066
25048784592244,119444.228178,1,24929340364066
25049286886125,119946.522059,2,24929340364066
25049788632824,120448.268758,1,24929340364066
25050291134447,120950.770381,1,24929340364066
25050791859087,121451.495021,1,24929340364066
25051294366186,121954.00212,1,24929340364066
25051796647809,122456.283743,1,24929340364066
25052298963294,122958.599228,1,24929340364066
25052801176431,123460.812365,1,24929340364066
25053303385756,123963.02169,1,24929340364066
25053805338694,124464.974628,1,24929340364066
25054307767831,124967.403765,1,24929340364066
25054811885676,125471.52161,1,24929340364066
25055314250723,125973.886657,1,24929340364066
25055816241151,126475.877085,1,24929340364066
25056318557443,126978.193377,2,24929340364066
25056820504584,127480.140518,1,24929340364066
25057322050784,127981.686718,1,24929340364066
25057822872177,128482.508111,1,24929340364066
25058325411845,128985.047779,1,24929340364066
25058827813395,129487.449329,1,24929340364066
25059330011018,129989.646952,1,24929340364066
25059841456301,130501.092235,1,24929340364066
25060344239916,131003.87585,1,24929340364066
25060846223243,131505.859177,1,24929340364066
25061348557866,132008.1938,1,24929340364066
25061850629734,132510.265668,1,24929340364066
25062352502050,133012.137984,1,24929340364066
25062854829351,133514.465285,1,24929340364066
25063356254936,134015.89087,2,24929340364066
25063858509360,134518.145294,1,24929340364066
25064360512417,135020.148351,1,24929340364066
25064862741581,135522.377515,1,24929340364066
25065364754455,136024.390389,1,24929340364066
25065866880205,136526.516139,1,24929340364066
25066368993141,137028.629075,1,24929340364066
25066871335547,137530.971481,1,24929340364066
25067373471464,138033.107398,1,24929340364066
25067875624516,138535.26045,1,24929340364066
25068377456390,139037.092324,1,24929340364066
25068879349161,139538.985095,1,24929340364066
25069380707051,140040.342985,1,24929340364066
25069882525143,140542.161077,1,24929340364066
25070384745082,141044.381016,2,24929340364066
25070886409676,141546.04561,1,24929340364066
25071388269328,142047.905262,1,24929340364066
25071890043496,142549.67943,1,24929340364066
25072391780534,143051.416468,1,24929340364066
25072893761977,143553.397911,1,24929340364066
25073395655225,144055.291159,1,24929340364066
25073897412084,144557.048018,1,24929340364066
25074399275263,145058.911197,1,24929340364066
25074901150155,145560.786089,1,24929340364066
25075402724244,146062.360178,1,24929340364066
25075904817811,146564.453745,1,24929340364066
25076405749609,147065.385543,1,24929340364066
25076907436840,147567.072774,1,24929340364066
25077409143711,148068.779645,2,24929340364066
25077910880263,148570.516197,1,24929340364066
25078413031396,149072.66733,1,24929340364066
25078916141191,149575.777125,1,24929340364066
25079417430735,150077.066669,1,24929340364066
25079919267931,150578.903865,1,24929340364066
25080421258805,151080.894739,1,24929340364066
25080923070523,151582.706457,1,24929340364066
25081424808043,152084.443977,1,24929340364066
25081926547327,152586.183261,1,24929340364066
25082428257154,153087.893088,1,24929340364066
25082930127766,153589.7637,1,24929340364066
25083431794756,154091.43069,1,24929340364066
25083933643147,154593.279081,1,24929340364066
25084435436117,155095.072051,2,24929340364066
25084937122160,155596.758094,1,24929340364066
25085439081157,156098.717091,1,24929340364066
25085940870319,156600.506253,1,24929340364066
25086442617606,157102.25354,1,24929340364066
25086944352891,157603.988825,1,24929340364066
25087446149555,158105.785489,1,24929340364066
25087947718918,158607.354852,1,24929340364066
25088449527354,159109.163288,1,24929340364066
25088951323331,159610.959265,1,24929340364066
25089453204928,160112.840862,1,24929340364066
25089954855611,160614.491545,1,24929340364066
25090456492372,161116.128306,1,24929340364066
25090958215921,161617.851855,1,24929340364066
25091460358919,162119.994853,2,24929340364066
25091961146246,162620.78218,1,24929340364066
25092462913698,163122.549632,1,24929340364066
25092964763092,163624.399026,1,24929340364066
25093466564732,164126.200666,1,24929340364066
25093968318879,164627.954813,1,24929340364066
25094469986802,165129.622736,1,24929340364066
25094971701339,165631.337273,1,24929340364066
25095473503150,166133.139084,1,24929340364066
25095975103599,166634.739533,1,24929340364066
25096476943025,167136.578959,1,24929340364066
25096978613678,167638.249612,1,24929340364066
25097480516919,168140.152853,1,24929340364066
25097982167752,168641.803686,1,24929340364066
25098483991147,169143.627081,2,24929340364066
25098985419375,169645.055309,1,24929340364066
25099487294998,170146.930932,1,24929340364066
25099988907540,170648.543474,1,24929340364066
25100490602353,171150.238287,1,24929340364066
25100992273136,171651.90907,1,24929340364066
25101493955622,172153.591556,1,24929340364066
25101995885377,172655.521311,1,24929340364066
25102497496736,173157.13267,1,24929340364066
25102999277975,173658.913909,1,24929340364066
25103500952357,174160.588291,1,24929340364066
25104002728399,174662.364333,1,24929340364066
25104504535366,175164.1713,1,24929340364066
25105006237827,175665.873761,1,24929340364066
25105508039707,176167.675641,2,24929340364066
25106009734676,176669.37061,1,24929340364066
25106511479642,177171.115576,1,24929340364066
25107013340973,177672.976907,1,24929340364066
25107514943677,178174.579611,1,24929340364066
25108016810555,178676.446489,1,24929340364066
25108518551478,179178.187412,1,24929340364066
25109020320063,179679.955997,1,24929340364066
25109522127702,180181.763636,1,24929340364066
25110023836817,180683.472751,1,24929340364066
25110525700338,181185.336272,1,24929340364066
25111027445279,181687.081213,1,24929340364066
25111528990241,182188.626175,1,24929340364066
25112030802552,182690.438486,1,24929340364066
25112533032434,183192.668368,2,24929340364066
25113034697926,183694.33386,1,24929340364066
25113535318365,184194.954299,1,24929340364066
25114035912250,184695.548184,1,24929340364066
25114536830458,185196.466392,1,24929340364066
25115037464165,185697.100099,1,24929340364066
25115539273464,186198.909398,1,24929340364066
25116040812313,186700.448247,1,24929340364066
25116542423938,187202.059872,1,24929340364066
25117044245749,187703.881683,1,24929340364066
25117545665809,188205.301743,1,24929340364066
25118047476878,188707.112812,1,24929340364066
25118547929123,189207.565057,1,24929340364066
25119048911360,189708.547294,1,24929340364066
