VIR,RES (kB),RES (MB),SHR,time (s)
9061748,170000,170,157000,173
9061748,170004,170.004,157004,174
9061748,170008,170.008,157008,175
9061748,170012,170.012,157012,176
9061748,170016,170.016,157016,177
9061748,170020,170.02,157020,178
9061748,170024,170.024,157024,179
9061748,170028,170.028,157028,180
9061748,170100,170.1,157100,181
9061748,170104,170.104,157104,182
9061748,170108,170.108,157108,183
9061748,170112,170.112,157112,184
9061748,170116,170.116,157116,185
9061748,170120,170.12,157112,186
9061748,170052,170.052,157044,187
9061748,170084,170.084,157064,188
9061748,170088,170.088,157068,189
9061748,170088,170.088,157068,190
9061748,170088,170.088,157068,191
9061748,170088,170.088,157068,192
9061748,170088,170.088,157068,193
9061748,170088,170.088,157068,194
9061748,170088,170.088,157068,195
9061748,170088,170.088,157068,196
9061748,170100,170.1,157080,197
9061748,170100,170.1,157080,198
9061748,166644,166.644,153624,199
9061748,166648,166.648,153624,200
9061748,166648,166.648,153624,201
9061748,166648,166.648,153624,202
9061748,166660,166.66,153624,203
9061748,166660,166.66,153624,204
9061748,166664,166.664,153624,205
9061748,166664,166.664,153624,206
9061748,166664,166.664,153624,207
9061748,166664,166.664,153624,208
9061748,166664,166.664,153624,209
9061748,166664,166.664,153624,210
9061748,166664,166.664,153624,211
9061748,166664,166.664,153624,212
9061748,166732,166.732,153688,213
9061748,166732,166.732,153688,214
9061748,166732,166.732,153680,215
9061748,166732,166.732,153680,216
9061748,166732,166.732,153680,217
9061748,166740,166.74,153688,218
9061748,166672,166.672,153620,219
9061748,166676,166.676,153624,220
9061748,166676,166.676,153624,221
9061748,166676,166.676,153624,222
9061748,166676,166.676,153624,223
9061748,166676,166.676,153624,224
9061748,166676,166.676,153624,225
9061748,166676,166.676,153624,226
9061748,166680,166.68,153628,227
9061748,166680,166.68,153628,228
9061748,166680,166.68,153628,229
9061748,166680,166.68,153628,230
9061748,166680,166.68,153628,231
9061748,166688,166.688,153628,232
9061748,166688,166.688,153628,233
9061748,166688,166.688,153628,234
9061748,166688,166.688,153628,235
9061748,166696,166.696,153636,236
9061748,166700,166.7,153640,237
9061748,166704,166.704,153644,238
9061748,166708,166.708,153648,239
9061748,166712,166.712,153652,240
9061748,166716,166.716,153656,241
9061748,166720,166.72,153660,242
9061748,166792,166.792,153732,243
9061748,166796,166.796,153728,244
9061748,166800,166.8,153736,245
9061748,170076,170.076,157012,246
9061748,170080,170.08,157016,247
9061748,170084,170.084,157020,248
9061748,170020,170.02,156956,249
9061748,170020,170.02,156956,250
9061748,170024,170.024,156960,251
9061748,170024,170.024,156960,252
9061748,170024,170.024,156960,253
9061748,170024,170.024,156960,254
9061748,170024,170.024,156960,255
9061748,170024,170.024,156960,256
9061748,170024,170.024,156960,257
9061748,170024,170.024,156960,258
9061748,170028,170.028,156964,259
9061748,170028,170.028,156964,260
9061748,170028,170.028,156964,261
9061748,170028,170.028,156964,262
9061748,170032,170.032,156968,263
9061748,170032,170.032,156968,264
9061748,170032,170.032,156968,265
9061748,170032,170.032,156968,266
9061748,170036,170.036,156972,267
9061748,170040,170.04,156976,268
9061748,170044,170.044,156980,269
9061748,170044,170.044,156980,270
9061748,170048,170.048,156988,271
