id,timeInit,timeFinal,time (ns),time (ms),
149,26307965222302,26351228314082,43263091780,43263.09178,43.26309178
150,26307965271448,26352229777993,44264506545,44264.506545,44.264506545
151,26307965319412,26353232407858,45267088446,45267.088446,45.267088446
152,26307965366426,26354235251017,46269884591,46269.884591,46.269884591
153,26307965415280,26355238119981,47272704701,47272.704701,47.272704701
154,26307965480398,26356240769489,48275289091,48275.289091,48.275289091
155,26307965528453,26357243577026,49278048573,49278.048573,49.278048573
156,26307965577764,26358246194592,50280616828,50280.616828,50.280616828
157,26307965626940,26359248226231,51282599291,51282.599291,51.282599291
158,26307965675504,26360250786312,52285110808,52285.110808,52.285110808
159,26307965726885,26361253343436,53287616551,53287.616551,53.287616551
160,26307965776118,26362256110135,54290334017,54290.334017,54.290334017
161,26307965825129,26363258780526,55292955397,55292.955397,55.292955397
162,26307965871966,26364261384602,56295512636,56295.512636,56.295512636
163,26307965921836,26365264226852,57298305016,57298.305016,57.298305016
164,26307965973080,26366266778559,58300805479,58300.805479,58.300805479
165,26307966021270,26367269437960,59303416690,59303.41669,59.30341669
166,26307966068774,26368271979835,60305911061,60305.911061,60.305911061
167,26307966118059,26369274588807,61308470748,61308.470748,61.308470748
168,26307966166626,26370277125139,62310958513,62310.958513,62.310958513
169,26307966214060,26371279742206,63313528146,63313.528146,63.313528146
170,26307966353978,26372280939095,64314585117,64314.585117,64.314585117
171,26307966407116,26325162812656,17196405540,17196.40554,17.19640554
172,26307966458074,26326165449776,18198991702,18198.991702,18.198991702
173,26307966507896,26327168144588,19201636692,19201.636692,19.201636692
174,26307966558631,26328170809436,20204250805,20204.250805,20.204250805
175,26307966606088,26329173434930,21206828842,21206.828842,21.206828842
176,26307966654396,26330176139098,22209484702,22209.484702,22.209484702
177,26307966703296,26331178802513,23212099217,23212.099217,23.212099217
178,26307966750727,26332181417784,24214667057,24214.667057,24.214667057
179,26307966797897,26333184072850,25217274953,25217.274953,25.217274953
180,26307966844905,26334187060160,26220215255,26220.215255,26.220215255
181,26307966892840,26335189556261,27222663421,27222.663421,27.222663421
182,26307966939612,26336192262322,28225322710,28225.32271,28.22532271
183,26307966987078,26337193926788,29226939710,29226.93971,29.22693971
184,26307967036220,26338196628801,30229592581,30229.592581,30.229592581
185,26307967089021,26339199164018,31232074997,31232.074997,31.232074997
186,26307967137832,26340201815824,32234677992,32234.677992,32.234677992
187,26307967185575,26317140149567,9172963992,9172.963992,9.172963992
188,26307967234252,26318142910859,10175676607,10175.676607,10.175676607
189,26307967282170,26319145661427,11178379257,11178.379257,11.178379257
190,26307967329802,26320148398784,12181068982,12181.068982,12.181068982
191,26307967376898,26321151142421,13183765523,13183.765523,13.183765523
192,26307967424736,26322153948645,14186523909,14186.523909,14.186523909
193,26307967472392,26323157276704,15189804312,15189.804312,15.189804312
194,26307967518879,26324159984386,16192465507,16192.465507,16.192465507
195,26307967566582,26313129295492,5161728910,5161.72891,5.16172891
196,26307967613754,26314132107684,6164493930,6164.49393,6.16449393
197,26307967660924,26315134791751,7167130827,7167.130827,7.167130827
198,26307967707799,26316137389332,8169681533,8169.681533,8.169681533
199,26307967760219,26311123865232,3156105013,3156.105013,3.156105013
200,26307967809225,26312126532015,4158722790,4158.72279,4.15872279
201,26322968142999,26465500450029,142532307030,142532.30703,142.53230703
202,26322968400854,26466503126128,143534725274,143534.725274,143.534725274
203,26322968560295,26467505437350,144536877055,144536.877055,144.536877055
204,26322968690666,26468506334327,145537643661,145537.643661,145.537643661
205,26322968818646,26469508816546,146539997900,146539.9979,146.5399979
206,26322968946330,26470511343241,147542396911,147542.396911,147.542396911
207,26322969073123,26471513935340,148544862217,148544.862217,148.544862217
208,26322969201789,26472516604433,149547402644,149547.402644,149.547402644
