time,replication
26335113663440,1
26335614809970,1
26336116992348,1
26336619577897,1
26337122216582,1
26337624901614,1
26338127662308,1
26338630486250,1
26339133121946,1
26339635185231,1
26340137097159,1
26340639610397,1
26341142364577,1
26341644908859,1
26342146467274,1
26342649115137,1
26343151776784,1
26343653476200,1
26344156331779,1
26344658991384,1
26345161535975,1
26345663964178,1
26346166694117,1
26346669253135,1
26347170252131,1
26347671295211,1
26348173270134,1
26348675677712,1
26349177969037,1
26349680259220,1
26350182446980,1
26350684615299,1
26351186076324,1
26351687803331,1
26352190154616,1
26352692528118,1
26353194816025,1
26353697028336,1
26354199131585,1
26354700252161,1
26355202676378,1
26355704938156,1
26356207211640,1
26356709569957,1
26357211870067,1
26357714206339,1
26358216532197,1
26358718815269,1
26359221081442,1
26359723425662,1
26360225610515,1
26360727763537,1
26361229984558,1
26361732277286,1
26362234605755,1
26362736941611,1
26363239091355,1
26363741450680,1
26364243662630,1
26364745911373,1
26365248256500,1
26365750416818,1
26366252634938,1
26366754854595,1
26367257408470,1
26367759546608,1
26368261844027,1
26368764022682,1
26369266335791,1
26369768522158,1
26370270741731,1
26370772390765,1
26371274425115,1
26371775520527,1
26372277813190,1
26372779640704,1
26373281826545,1
26373783935361,1
26374286158256,1
26374787843364,1
26375289768072,1
26375791980834,1
26376294100154,1
26376795907587,1
26377298098855,1
26377800311938,1
26378302451649,1
26378804856281,1
26379306787801,1
26379808853540,1
26380311010440,1
26380812693438,1
26381313730348,1
26381815587840,1
26382317877667,1
26382819532700,1
26383321763723,1
26383823962528,1
26384326227148,1
26384828553853,1
26385330831111,1
26385833126836,1
26386335257833,1
26386837374146,1
26387339516158,1
26387841876159,1
26388344049010,1
26388846024412,1
26389347135369,1
26389849319486,1
26390351420780,1
26390853633192,1
26391355647067,1
26391857102152,1
26392359182239,1
26392861276051,1
26393363385359,1
26393865522110,1
26394367020967,1
26394869208714,1
26395370985506,1
26395873137501,1
26396375283642,1
26396877491989,1
26397379527206,1
26397880630678,1
26398382937722,1
26398885236253,1
26399387437208,1
26399889798978,1
26400391958795,1
26400894182115,1
26401395999512,1
26401898360254,1
26402400566436,1
26402902806941,1
26403404857400,1
26403907073826,1
26404409265996,1
26404911177390,1
26405413378110,1
26405915421793,1
26406417686668,1
26406919794362,1
26407422119439,1
26407924253828,1
26408426443548,1
26408928657728,1
26409430795420,1
26409933098933,1
26410435283300,1
26410937332010,1
26411439529082,1
26411941708173,1
26412443947841,1
26412946095585,1
26413448251904,1
26413950389511,1
26414452656446,1
26414954842367,1
26415457125924,1
26415959307365,1
26416461550932,1
26416963687807,1
26417465939232,1
26417968084621,1
26418470203600,1
26418972378737,1
26419474531137,1
26419976562047,1
26420478789432,1
26420980815190,1
26421483029817,1
26421985136478,1
26422486984309,1
26422988253035,1
26423490443126,1
26423992549171,1
26424494645443,1
26424995977891,1
26425498141561,1
26426000216671,1
26426502293435,1
26427004196077,1
26427505271042,1
26428006683775,1
26428508409374,1
26429026193824,1
26429527778115,1
26430028659055,1
26430529760629,1
26431031206686,1
26431532578584,1
26432033541233,1
26432535669203,1
26433037856071,1
26433539995868,1
26434041981713,1
26434543143278,1
26435044606683,1
26435546270633,1
26436048257561,1
26436550403041,1
26437052646322,1
26437554751390,1
26438056360153,1
26438557357911,1
26439059483140,1
26439561414997,1
26440062445452,1
26440564393516,1
26441065577209,1
26441567602860,1
26442069589025,1
26442571750516,1
26443074022302,1
26443576217244,1
26444078424453,1
26444580645138,1
26445082743290,1
26445584924771,1
26446086981185,1
26446588080417,1
26447090155161,1
26447592104932,1
26448094313835,1
26448596374926,1
26449097815365,1
26449599852117,1
26450101450242,1
26450603351318,1
26451105553195,1
26451607648324,1
26452109058468,1
26452611104342,1
26453113267316,1
26453615502128,1
26454117726757,1
26454619907877,1
26455122129494,1
26455624308983,1
26456125397394,1
26456627618220,1
26457129727407,1
26457631909364,1
26458133962574,1
26458636199566,1
26459138360100,1
26459640550411,1
26460142616045,1
26460644897783,1
26461147025096,1
26461649100843,1
26462150558522,1
26462651974364,1
26463154132547,1
26463656289207,1
26464158576403,1
26464660867367,1
26465163031609,1
26465665327485,1
26466167474127,1
26466669712953,1
26467171725751,1
26467673852744,1
26468176050677,1
26468678169341,1
26469180250750,1
26469682210706,1
26470183987546,1
26470685870207,1
26471188092822,1
26471690213099,1
26472192382417,1
26472694507877,1
26473196814135,1
26473698955430,1
26474201125681,1
26474703169290,1
26475205367343,1
26475707598978,1
26476209760263,1
26476711893164,1
26477214039907,1
26477716196236,1
26478218360844,1
26478720370641,1
26479222521728,1
26479724514432,1
26480225667181,1
26480727069426,1
26481229228892,1
26481731336791,1
26482233514950,1
26482735666899,1
26483237621434,1
26483738559528,1
26484240719496,1
26484742782974,1
26485244981855,1
26485747115608,1
26486249298307,1
26486751392320,1
26487253382873,1
26487755485195,1
26488257686260,1
26488759858911,1
26489262032790,1
26489764165651,1
26490266108832,1
26490768197417,1
26491270180635,1
26491771328302,1
26492273544477,1
26492775576855,1
26493277761864,1
26493779893853,1
26494282068824,1
26494784283746,1
26495286448905,1
26495788660610,1
26496290580142,1
26496791676790,1
26497293836171,1
26497795891391,1
26498297966761,1
26498800233941,1
26499302287533,1
26499804538165,1
26500306703104,1
26500808918672,1
26501311024342,1
26501813235234,1
26502315343735,1
26502817476852,1
26503319589241,1
26503821841006,1
26504323982447,1
26504826154682,1
26505328285112,1
26505830425485,1
26506332432245,1
26506834648966,1
26507336838661,1
26507839077893,1
26508341207391,1
26508843372345,1
