18:48:38,CPU,%user,%nice,%system,%iowait,%steal,%idle,%real
18:50:24,all,0.31,0,0.31,0,0,99.37,0.63
18:50:25,all,0.22,0,0.22,0,0,99.56,0.44
18:50:26,all,0.19,0,0.16,0,0,99.66,0.34
18:50:27,all,0.16,0,0.25,0,0,99.59,0.41
18:50:28,all,0.19,0,0.13,0,0,99.69,0.31
18:50:29,all,0.28,0,0.25,0,0,99.47,0.53
18:50:30,all,0.22,0,0.16,0,0,99.62,0.38
18:50:31,all,0.44,0,0.22,0,0,99.34,0.66
18:50:32,all,0.19,0,0.16,0,0,99.66,0.34
18:50:33,all,0.13,0,0.22,0,0,99.66,0.34
18:50:34,all,0.34,0,0.16,0,0,99.5,0.5
18:50:35,all,0.19,0,0.09,0,0,99.72,0.28
18:50:36,all,0.28,0,0.22,0,0,99.5,0.5
18:50:37,all,0.09,0,0.19,0,0,99.72,0.28
18:50:38,all,0.28,0,0.16,0,0,99.56,0.44
18:50:39,all,0.19,0,0.22,0,0,99.59,0.41
18:50:40,all,0.13,0,0.25,0,0,99.62,0.38
18:50:41,all,0.31,0,0.19,0,0,99.5,0.5
18:50:42,all,0.19,0,0.16,0,0,99.66,0.34
18:50:43,all,0.22,0,0.25,0,0,99.53,0.47
18:50:44,all,0.31,0,0.28,0,0,99.41,0.59
18:50:45,all,0.72,0,0.19,0,0,99.09,0.91
18:50:46,all,0.25,0,0.19,0,0,99.56,0.44
18:50:47,all,0.19,0,0.16,0,0,99.66,0.34
18:50:48,all,0.31,0,0.16,0,0,99.53,0.47
18:50:49,all,1,0,0.22,0,0,98.78,1.22
18:50:50,all,0.25,0,0.22,0,0,99.53,0.47
18:50:51,all,0.13,0,0.25,0,0,99.62,0.38
18:50:52,all,0.34,0,0.09,0,0,99.56,0.44
18:50:53,all,0.09,0,0.22,0,0,99.69,0.31
18:50:54,all,0.25,0,0.22,0,0,99.53,0.47
18:50:55,all,0.16,0,0.16,0,0,99.69,0.31
18:50:56,all,0.16,0,0.19,0,0,99.66,0.34
18:50:57,all,0.19,0,0.19,0,0,99.62,0.38
18:50:58,all,0.13,0,0.16,0,0,99.72,0.28
18:50:59,all,0.22,0,0.19,0,0,99.59,0.41
18:51:00,all,0.22,0,0.25,0,0,99.53,0.47
18:51:01,all,0.16,0,0.34,0,0,99.5,0.5
18:51:02,all,0.09,0,0.25,0,0,99.66,0.34
18:51:03,all,0.16,0,0.31,0,0,99.53,0.47
18:51:04,all,0.28,0,0.19,0,0,99.53,0.47
18:51:05,all,0.31,0,0.16,0,0,99.53,0.47
18:51:06,all,0.25,0,0.13,0,0,99.62,0.38
18:51:07,all,0.13,0,0.22,0,0,99.66,0.34
18:51:08,all,0.25,0,0.22,0,0,99.53,0.47
18:51:09,all,0.31,0,0.13,0,0,99.56,0.44
18:51:10,all,1.19,0,0.28,0,0,98.53,1.47
18:51:11,all,0.31,0,0.19,0,0,99.5,0.5
18:51:12,all,0.16,0,0.22,0,0,99.62,0.38
18:51:13,all,1.35,0,0.25,0,0,98.4,1.6
18:51:14,all,0.16,0,0.22,0,0,99.62,0.38
18:51:15,all,0.19,0,0.25,0,0,99.56,0.44
18:51:16,all,0.16,0,0.13,0,0,99.72,0.28
18:51:17,all,0.25,0,0.16,0,0,99.59,0.41
18:51:18,all,0.09,0,0.25,0,0,99.66,0.34
18:51:19,all,0.16,0,0.22,0,0,99.62,0.38
18:51:20,all,0.19,0,0.19,0,0,99.62,0.38
18:51:21,all,0.16,0,0.13,0,0,99.72,0.28
18:51:22,all,0.13,0,0.34,0,0,99.53,0.47
18:51:23,all,0.13,0,0.19,0,0,99.69,0.31
18:51:24,all,0.25,0,0.19,0,0,99.56,0.44
18:51:25,all,0.13,0,0.22,0,0,99.66,0.34
18:51:26,all,0.16,0,0.16,0,0,99.69,0.31
18:51:27,all,0.16,0,0.22,0,0,99.62,0.38
18:51:28,all,0.09,0,0.22,0,0,99.69,0.31
18:51:29,all,0.38,0,0.22,0,0,99.4,0.6
18:51:30,all,0.16,0,0.19,0,0,99.66,0.34
18:51:31,all,0.13,0,0.19,0,0,99.69,0.31
18:51:32,all,0.13,0,0.22,0,0,99.66,0.34
18:51:33,all,0.09,0,0.16,0,0,99.75,0.25
18:51:34,all,0.16,0,0.22,0,0,99.62,0.38
18:51:35,all,0.13,0,0.25,0,0,99.62,0.38
18:51:36,all,0.16,0,0.13,0,0,99.72,0.28
18:51:37,all,0.13,0,0.13,0,0,99.75,0.25
18:51:38,all,0.13,0,0.22,0,0,99.66,0.34
18:51:39,all,0.22,0,0.16,0,0,99.62,0.38
18:51:40,all,0.13,0,0.19,0,0,99.69,0.31
18:51:41,all,0.16,0,0.19,0,0,99.65,0.35
18:51:42,all,0.16,0,0.22,0,0,99.62,0.38
18:51:43,all,0.16,0,0.34,0,0,99.5,0.5
18:51:44,all,0.41,0,0.25,0,0,99.34,0.66
18:51:45,all,0.16,0,0.22,0,0,99.62,0.38
18:51:46,all,0.13,0,0.22,0,0,99.66,0.34
18:51:47,all,0.25,0,0.19,0,0,99.56,0.44
18:51:48,all,0.13,0,0.25,0,0,99.62,0.38
18:51:49,all,0.22,0,0.25,0,0,99.53,0.47
18:51:50,all,0.16,0,0.22,0,0,99.62,0.38
18:51:51,all,0.25,0,0.19,0,0,99.56,0.44
18:51:52,all,0.16,0,0.22,0,0,99.62,0.38
18:51:53,all,0.16,0,0.22,0,0,99.62,0.38
18:51:54,all,0.38,0,0.16,0,0,99.47,0.53
18:51:55,all,0.19,0,0.13,0,0,99.69,0.31
18:51:56,all,0.13,0,0.22,0,0,99.66,0.34
18:51:57,all,0.16,0,0.19,0,0,99.65,0.35
18:51:58,all,0.19,0,0.19,0,0,99.62,0.38
18:51:59,all,0.19,0,0.16,0,0,99.66,0.34
18:52:00,all,0.13,0,0.25,0,0,99.62,0.38
18:52:01,all,0.19,0,0.22,0,0,99.59,0.41
18:52:02,all,0.13,0,0.19,0,0,99.69,0.31
18:52:03,all,0.16,0,0.25,0,0,99.59,0.41
18:52:04,all,0.31,0,0.19,0,0,99.5,0.5
18:52:05,all,0.13,0,0.22,0,0,99.66,0.34
18:52:06,all,0.19,0,0.25,0,0,99.56,0.44
18:52:07,all,0.25,0,0.16,0,0,99.59,0.41
18:52:08,all,0.13,0,0.19,0,0,99.69,0.31
18:52:09,all,0.31,0,0.31,0,0,99.37,0.63
18:52:10,all,0.19,0,0.25,0,0,99.56,0.44
18:52:11,all,0.16,0,0.16,0,0,99.69,0.31
18:52:12,all,0.19,0,0.22,0,0,99.59,0.41
18:52:13,all,0.16,0,0.19,0,0,99.66,0.34
18:52:14,all,0.16,0,0.25,0,0,99.59,0.41
18:52:15,all,0.16,0,0.22,0,0,99.62,0.38
18:52:16,all,0.16,0,0.34,0,0,99.5,0.5
18:52:17,all,0.19,0,0.13,0,0,99.69,0.31
18:52:18,all,0.22,0,0.19,0,0,99.59,0.41
18:52:19,all,0.09,0,0.16,0,0,99.75,0.25
18:52:20,all,0.13,0,0.25,0.09,0,99.53,0.47
18:52:21,all,0.09,0,0.16,0,0,99.75,0.25
18:52:22,all,0.19,0,0.25,0,0,99.56,0.44
18:52:23,all,0.22,0,0.28,0,0,99.5,0.5
18:52:24,all,0.22,0,0.19,0,0,99.59,0.41
18:52:25,all,0.19,0,0.22,0,0,99.59,0.41
18:52:26,all,0.13,0,0.16,0,0,99.72,0.28
18:52:27,all,0.13,0,0.28,0,0,99.59,0.41
18:52:28,all,0.22,0,0.22,0,0,99.56,0.44
18:52:29,all,0.13,0,0.25,0,0,99.62,0.38
18:52:30,all,0.13,0,0.22,0,0,99.66,0.34
18:52:31,all,0.09,0,0.13,0,0,99.78,0.22
18:52:32,all,0.22,0,0.31,0,0,99.47,0.53
18:52:33,all,0.19,0,0.22,0,0,99.59,0.41
18:52:34,all,0.22,0,0.16,0,0,99.62,0.38
18:52:35,all,0.16,0,0.16,0,0,99.69,0.31
18:52:36,all,0.09,0,0.25,0,0,99.66,0.34
18:52:37,all,0.13,0,0.28,0,0,99.59,0.41
18:52:38,all,0.16,0,0.25,0,0,99.59,0.41
18:52:39,all,0.22,0,0.16,0,0,99.62,0.38
18:52:40,all,0.19,0,0.16,0,0,99.66,0.34
18:52:41,all,0.16,0,0.28,0,0,99.56,0.44
18:52:42,all,0.16,0,0.25,0,0,99.59,0.41
18:52:43,all,0.13,0,0.16,0,0,99.72,0.28
18:52:44,all,0.22,0,0.25,0,0,99.53,0.47
18:52:45,all,0.09,0,0.25,0,0,99.66,0.34
18:52:46,all,0.19,0,0.31,0,0,99.5,0.5
18:52:47,all,0.09,0,0.16,0,0,99.75,0.25
18:52:48,all,0.22,0,0.16,0,0,99.62,0.38
18:52:49,all,0.16,0,0.25,0,0,99.59,0.41
18:52:50,all,0.16,0,0.16,0,0,99.69,0.31
18:52:51,all,0.25,0,0.22,0,0,99.53,0.47
18:52:52,all,0.22,0,0.22,0,0,99.56,0.44
18:52:53,all,0.16,0,0.25,0,0,99.59,0.41
18:52:54,all,1,0,0.66,0,0,98.34,1.66
18:52:55,all,0.22,0,0.16,0,0,99.62,0.38
