14:08:42	CPU	%user	nice	%system	%iowait	%steal	%idle
14:09:18	all	6,46	0,00	2,41	0,00	0,00	91,14
14:09:19	all	9,03	0,00	1,25	0,00	0,00	89,71
14:09:20	all	8,71	0,00	2,27	0,25	0,00	88,76
14:09:21	all	2,41	0,00	1,40	0,13	0,00	96,07
14:09:22	all	4,57	0,00	2,28	0,13	0,00	93,02
14:09:23	all	3,77	0,00	2,01	0,00	0,00	94,22
14:09:24	all	6,56	0,00	2,77	0,00	0,00	90,67
14:09:25	all	3,32	0,00	1,53	0,13	0,00	95,03
14:09:26	all	5,00	0,00	2,50	0,38	0,00	92,12
14:09:27	all	4,43	0,00	2,78	0,00	0,00	92,78
14:09:28	all	3,42	0,00	2,03	0,00	0,00	94,56
14:09:29	all	5,29	0,00	3,02	0,00	0,00	91,69
14:09:30	all	3,17	0,00	1,40	0,00	0,00	95,43
14:09:31	all	5,43	0,00	2,78	0,38	0,00	91,41
14:09:32	all	2,54	0,00	1,78	0,00	0,00	95,69
14:09:33	all	4,72	0,00	2,55	0,00	0,00	92,73
14:09:34	all	3,54	0,00	2,15	0,00	0,00	94,31
14:09:35	all	4,67	0,00	1,52	0,00	0,00	93,81
14:09:36	all	4,30	0,00	2,78	0,51	0,00	92,41
14:09:37	all	3,17	0,00	1,52	0,00	0,00	95,31
14:09:38	all	5,56	0,00	2,65	0,00	0,00	91,78
14:09:39	all	3,16	0,00	1,64	0,00	0,00	95,20
14:09:40	all	4,82	0,00	2,28	0,13	0,00	92,78
14:09:41	all	2,41	0,00	1,78	0,25	0,00	95,56
14:09:42	all	3,92	0,00	2,78	0,00	0,00	93,29
14:09:43	all	3,56	0,00	1,91	0,00	0,00	94,53
14:09:44	all	5,67	0,00	1,13	0,00	0,00	93,20
14:09:45	all	4,92	0,00	2,77	0,00	0,00	92,31
14:09:46	all	3,28	0,00	1,52	0,25	0,00	94,95
14:09:47	all	5,05	0,00	2,65	0,00	0,00	92,30
14:09:48	all	4,05	0,00	1,52	0,00	0,00	94,43
14:09:49	all	8,93	0,00	2,39	0,00	0,00	88,68
14:09:50	all	3,41	0,00	1,90	0,13	0,00	94,56
14:09:51	all	4,95	0,00	2,16	1,14	0,00	91,75
14:09:52	all	3,44	0,00	2,55	2,80	0,00	91,21
14:09:53	all	4,56	0,00	1,90	0,00	0,00	93,54
14:09:54	all	5,40	0,00	2,89	0,13	0,00	91,59
14:09:55	all	4,46	0,00	1,02	0,00	0,00	94,52
14:09:56	all	6,05	0,00	2,90	0,25	0,00	90,79
14:09:57	all	3,80	0,00	1,27	0,13	0,00	94,80
14:09:58	all	5,30	0,00	2,40	0,00	0,00	92,31
14:09:59	all	4,05	0,00	1,52	0,00	0,00	94,43
14:10:00	all	5,97	0,00	2,80	0,00	0,00	91,23
14:10:01	all	3,67	0,00	2,53	0,38	0,00	93,42
14:10:02	all	4,59	0,00	1,15	0,64	0,00	93,62
14:10:03	all	5,07	0,00	3,17	0,00	0,00	91,76
14:10:04	all	3,42	0,00	2,28	0,00	0,00	94,30
14:10:05	all	5,14	0,00	3,26	0,00	0,00	91,60
14:10:06	all	3,42	0,00	1,52	0,00	0,00	95,06
14:10:07	all	4,18	0,00	2,92	1,01	0,00	91,89
14:10:08	all	3,55	0,00	1,65	0,00	0,00	94,80
14:10:09	all	5,50	0,00	3,75	0,00	0,00	90,75
14:10:10	all	3,79	0,00	2,78	0,00	0,00	93,43
14:10:11	all	4,68	0,00	1,77	0,00	0,00	93,54
14:10:12	all	4,79	0,00	3,15	0,13	0,00	91,93
14:10:13	all	4,33	0,00	1,40	0,13	0,00	94,14
14:10:14	all	4,90	0,00	3,39	0,00	0,00	91,71
14:10:15	all	3,20	0,00	1,41	0,00	0,00	95,40
14:10:16	all	5,16	0,00	3,27	0,00	0,00	91,57
14:10:17	all	4,07	0,00	1,91	0,00	0,00	94,03
14:10:18	all	6,05	0,00	2,64	0,38	0,00	90,93
14:10:19	all	2,94	0,00	2,68	0,00	0,00	94,38
14:10:20	all	4,44	0,00	2,16	0,00	0,00	93,40
14:10:21	all	5,33	0,00	2,41	0,00	0,00	92,26
14:10:22	all	2,67	0,00	2,04	0,00	0,00	95,29
14:10:23	all	5,42	0,00	3,15	0,50	0,00	90,93
14:10:24	all	3,18	0,00	2,04	0,00	0,00	94,78
14:10:25	all	5,79	0,00	2,90	0,00	0,00	91,31
14:10:26	all	2,93	0,00	1,66	0,00	0,00	95,41
14:10:27	all	4,89	0,00	3,51	0,00	0,00	91,59
14:10:28	all	3,94	0,00	2,29	0,38	0,00	93,38
14:10:29	all	4,96	0,00	1,65	0,00	0,00	93,39
14:10:30	all	4,19	0,00	2,92	0,00	0,00	92,89
14:10:31	all	2,93	0,00	1,91	0,00	0,00	95,16
14:10:32	all	4,93	0,00	2,91	0,00	0,00	92,16
14:10:33	all	3,67	0,00	1,77	0,38	0,00	94,18
14:10:34	all	4,81	0,00	3,04	0,00	0,00	92,15
14:10:35	all	2,30	0,00	1,66	0,00	0,00	96,04
14:10:36	all	5,09	0,00	2,29	0,00	0,00	92,62
14:10:37	all	2,93	0,00	2,93	0,13	0,00	94,02
14:10:38	all	5,84	0,00	2,03	0,25	0,00	91,88
